timestamp,participant,trial_index,condition,similarity,chunked,list_items,response,n_correct,proportion_correct,phonological_confusions
2025-09-21 10:20:37,P01,1,silent,mixed,1,DQHRVZYPLBT,DQHRVZT,7,0.636,0
2025-09-21 10:21:06,P01,2,silent,mixed,1,ZGHQNKLVYMRP,ZQVRNP,6,0.500,0
2025-09-21 10:21:43,P01,3,silent,mixed,1,GBTDMPKQZRH,GBTMPZ,6,0.545,0
2025-09-21 10:22:12,P01,4,silent,mixed,1,QYMLGZHNRDP,QNMLGNR,6,0.545,0
2025-09-21 10:22:40,P01,5,silent,mixed,1,LYQKPZHDMVGB,NYQKZH,5,0.417,1
2025-09-21 10:23:06,P01,6,silent,mixed,1,TKBGYNLMDHZ,TGBKZ,5,0.455,0
2025-09-21 10:23:34,P01,7,silent,mixed,1,KYZMDVNQLTB,KYZDVB,6,0.545,0
2025-09-21 10:24:01,P01,8,silent,mixed,1,RLPHBGVKDMZ,RLHVDBZ,7,0.636,0
2025-09-21 10:24:27,P01,9,silent,mixed,1,KRMGPHVZQYB,KRMGPB,6,0.545,0
2025-09-21 10:24:54,P01,10,silent,mixed,1,BPDMGHVRQK,BPDMVG,6,0.600,0
2025-09-21 10:25:28,P01,11,silent,mixed,1,YLKMHZNDPVRQ,YLGHMRQ,6,0.500,1
2025-09-21 10:25:54,P01,12,silent,mixed,1,RZGHMTLYVBP,RZGHTB,6,0.545,0
2025-09-21 10:26:21,P01,13,silent,mixed,1,VRZMHNTKGYB,VRZMHNY,7,0.636,0
2025-09-21 10:26:51,P01,14,silent,mixed,1,MDQZYLGRTN,MRQZLHD,6,0.600,0
2025-09-21 10:27:18,P01,15,silent,mixed,1,TNDQLHKGVYM,TNDQLHK,7,0.636,0
2025-09-21 10:27:46,P01,16,silent,mixed,1,HNLZMTKQVDR,HLMZNTR,7,0.636,0
2025-09-21 10:28:15,P01,17,silent,mixed,1,GLMPBNTDQRVZ,GLMPBTQZ,8,0.667,0
2025-09-21 10:28:44,P01,18,silent,mixed,1,BLGRMQKZTHV,GMBRLMQZ,7,0.636,0
2025-09-21 10:29:12,P01,19,silent,mixed,1,LZNKRHPBYTM,LKNZRYT,7,0.636,0
2025-09-21 10:29:43,P01,20,silent,mixed,1,GRVNBZMYPLKH,GLVRNZY,7,0.583,0
