timestamp,participant,trial_index,condition,similarity,chunked,list_items,response,n_correct,proportion_correct,phonological_confusions
2025-09-21 10:33:14,P01,1,silent,mixed,1,MDVHPGNZQLK,MDVHLK,6,0.545,0
2025-09-21 10:33:29,P01,2,silent,mixed,1,RKGPDQVYNMT,RKGPMT,6,0.545,0
2025-09-21 10:33:45,P01,3,silent,mixed,1,DMBZTLGHRQVN,DMGBZM,5,0.417,0
2025-09-21 10:34:02,P01,4,silent,mixed,1,GNKYBVTRDQLM,GNKLYMKN,6,0.500,0
2025-09-21 10:34:21,P01,5,silent,mixed,1,MBQGPDKRLY,MBQGLY,6,0.600,0
2025-09-21 10:34:34,P01,6,silent,mixed,1,DMRHLKPYZT,DMRKYT,6,0.600,0
2025-09-21 10:34:46,P01,7,silent,mixed,1,QGKVMYRPHTND,QYKT,4,0.333,0
2025-09-21 10:34:58,P01,8,silent,mixed,1,GTBMDVNZQP,GTBMVP,6,0.600,0
2025-09-21 10:35:11,P01,9,silent,mixed,1,VQZTHPDMGNR,VQZTPR,6,0.545,0
2025-09-21 10:35:25,P01,10,silent,mixed,1,DBYKRTZQNVPM,QKYBTM,6,0.500,0
2025-09-21 10:35:37,P01,11,silent,mixed,1,YLZKNPRDVH,YLZKNR,6,0.600,0
2025-09-21 10:35:51,P01,12,silent,mixed,1,NVRKPGTDMB,NVRKPG,6,0.600,0
2025-09-21 10:36:04,P01,13,silent,mixed,1,MTVDRQPLKZNH,MTVDRZ,6,0.500,0
2025-09-21 10:36:23,P01,14,silent,mixed,1,RQVLMGTPDBY,RQVMNP,5,0.455,1
2025-09-21 10:36:38,P01,15,silent,mixed,1,BZLRKMHQTGDV,BZLRKQT,7,0.583,0
2025-09-21 10:37:00,P01,16,silent,mixed,1,PGYNZRKLQTM,PQYNZT,6,0.545,0
2025-09-21 10:37:12,P01,17,silent,mixed,1,VGLDMHYRKZ,VGMDLYZ,7,0.700,0
2025-09-21 10:37:24,P01,18,silent,mixed,1,NYLRGDKPBH,NYLRKPH,7,0.700,0
2025-09-21 10:37:45,P01,19,silent,mixed,1,KNVDHTQBPYL,KNVDHTYH,7,0.636,0
2025-09-21 10:37:56,P01,20,silent,mixed,1,KLPQGTZBHY,KNLQT,4,0.400,0
