timestamp,participant,trial_index,condition,similarity,chunked,list_items,response,n_correct,proportion_correct,phonological_confusions
2025-09-18 13:57:49,Poul,1,silent,mixed,1,RMZQPKBGNH,RMPQZ,5,0.500,0
2025-09-18 13:58:17,Poul,2,silent,mixed,1,NHBVPGZDLYRQ,ZHBVKD,5,0.417,1
2025-09-18 13:58:43,Poul,3,silent,mixed,1,HTVYLNDMRGZK,HTVNYRGL,8,0.667,0
2025-09-18 13:59:05,Poul,4,silent,mixed,1,YBMQLGHVZN,YBRNQL,5,0.500,0
2025-09-18 13:59:25,Poul,5,silent,mixed,1,PDMRKTVHLZ,PDMRHZL,7,0.700,0
2025-09-18 13:59:46,Poul,6,silent,mixed,1,QBRNDGVHLZM,QBNRDBHL,7,0.636,0
2025-09-18 14:00:10,Poul,7,silent,mixed,1,QMHZPNVDYLR,QZMLPVHR,8,0.727,0
2025-09-18 14:00:37,Poul,8,silent,mixed,1,RMVTBQKZPDGL,LPDGQZR,7,0.583,0
2025-09-18 14:01:02,Poul,9,silent,mixed,1,ZKLDRPGTNY,NYPDG,5,0.500,0
2025-09-18 14:01:22,Poul,10,silent,mixed,1,PYHRVDGZNKM,NKMPDHR,7,0.636,0
2025-09-18 14:01:46,Poul,11,silent,mixed,1,YPZTLDRBVGQ,YPZTLRBQ,8,0.727,0
2025-09-18 14:02:09,Poul,12,silent,mixed,1,BQTDYMHZNPLV,PLVMNQT,7,0.583,0
2025-09-18 14:02:28,Poul,13,silent,mixed,1,LNZRGHPMTB,LNGHTRD,6,0.600,1
2025-09-18 14:02:49,Poul,14,silent,mixed,1,NZMLDHGPVBYT,LDHGPYT,7,0.583,0
2025-09-18 14:03:07,Poul,15,silent,mixed,1,RVGBLDTPQK,RVGBLDT,7,0.700,0
2025-09-18 14:03:26,Poul,16,silent,mixed,1,VHGMYKZNLRP,VHGMYKZ,7,0.636,0
2025-09-18 14:03:49,Poul,17,silent,mixed,1,YQNKZBVLDGPT,PTYKLHZBV,8,0.667,0
2025-09-18 14:04:09,Poul,18,silent,mixed,1,NGMVKYBZDP,NYMVKBTH,6,0.600,1
2025-09-18 14:04:29,Poul,19,silent,mixed,1,DVZLBQMHYR,DVZKLMBR,7,0.700,0
2025-09-18 14:04:53,Poul,20,silent,mixed,1,KPNGQBVYHTLM,LMYQKPN,7,0.583,0
