timestamp,participant,trial_index,rate,post_phase,list_items,response,proportion_correct_in_position,per_position_binary
2025-09-30 12:39:44,P01,1,slow,immediate,PMLKBGZVDYTQ,PM,0.167,110000000000
2025-09-30 12:40:01,P01,2,slow,immediate,ZGSRTQVDPMLY,ZGS,0.250,111000000000
2025-09-30 12:40:19,P01,3,slow,immediate,LBMYRQGZSVTK,LBMY,0.333,111100000000
2025-09-30 12:40:37,P01,4,slow,immediate,ZMLKTDYRQSVG,ZMLK,0.333,111100000000
2025-09-30 12:40:58,P01,5,slow,immediate,PMRGQDYTSBLK,PMRQ,0.250,111000000000
2025-09-30 12:41:16,P01,6,slow,immediate,PSLQDZTMGKVR,PSLQ,0.333,111100000000
2025-09-30 12:41:33,P01,7,slow,immediate,KYMBQPZVDSTL,KYMB,0.333,111100000000
2025-09-30 12:41:51,P01,8,slow,immediate,LKVDYBMRSQGT,LKVD,0.333,111100000000
2025-09-30 12:42:07,P01,9,slow,immediate,PSRTGQYVZLKM,PSRT,0.333,111100000000
2025-09-30 12:42:26,P01,10,slow,immediate,BTZLDYQPSGRM,BTZL,0.333,111100000000
2025-09-30 12:43:52,P01,11,slow,immediate,YMZPKGDVTLRQ,YMZP,0.333,111100000000
2025-09-30 12:44:10,P01,12,slow,immediate,KZSVDRYMLGQB,KZSV,0.333,111100000000
2025-09-30 12:44:31,P01,13,slow,immediate,PGSDRLKMYBQZ,PGSD,0.333,111100000000
2025-09-30 12:44:51,P01,14,slow,immediate,VSGKTRZPYQMD,VSGKT,0.417,111110000000
2025-09-30 12:45:14,P01,15,slow,immediate,DPRYGVKBQMLT,DPRY,0.333,111100000000
2025-09-30 12:45:33,P01,16,slow,immediate,YRSQGBDZLPMK,YRSQ,0.333,111100000000
2025-09-30 12:45:49,P01,17,slow,immediate,GMVBPQDRKTYZ,GMVB,0.333,111100000000
2025-09-30 12:46:05,P01,18,slow,immediate,PMKQTVYBLZSR,PMKQ,0.333,111100000000
2025-09-30 12:46:28,P01,19,slow,immediate,DLTRGSMZVKYQ,DLTR,0.333,111100000000
2025-09-30 12:46:45,P01,20,slow,immediate,RPSDVBZYKLMQ,RPST,0.250,111000000000
