timestamp,participant,trial_index,rate,post_phase,list_items,response,proportion_correct_in_position,per_position_binary
2025-09-30 12:48:14,P01,1,slow,immediate,BZGPVLSTYKRQ,GZBP,0.167,010100000000
2025-09-30 12:48:33,P01,2,slow,immediate,DZSYPLTQMBRG,DZSYP,0.417,111110000000
2025-09-30 12:48:53,P01,3,slow,immediate,QMYDTZKBSGLP,QMYDT,0.417,111110000000
2025-09-30 12:49:12,P01,4,slow,immediate,RVLSBYPGKTMZ,RVLSB,0.417,111110000000
2025-09-30 12:49:31,P01,5,slow,immediate,RKYSQZMPGLBD,RKYSQ,0.417,111110000000
2025-09-30 12:49:51,P01,6,slow,immediate,BTMLDKRSGQZV,BTMLD,0.417,111110000000
2025-09-30 12:50:16,P01,7,slow,immediate,PSBDZQKVTGYL,PSBDZ,0.417,111110000000
2025-09-30 12:50:35,P01,8,slow,immediate,ZYTPMBVGQDSK,ZYTPM,0.417,111110000000
2025-09-30 12:50:53,P01,9,slow,immediate,TVZMDQSRYLPG,TVZMD,0.417,111110000000
2025-09-30 12:51:12,P01,10,slow,immediate,TPDMYRVBGKQZ,TPDMY,0.417,111110000000
2025-09-30 12:51:31,P01,11,slow,immediate,RZGLYBTDVKSP,RZGLY,0.417,111110000000
2025-09-30 12:51:49,P01,12,slow,immediate,BKYQSZPDVLTM,BKYQS,0.417,111110000000
2025-09-30 12:52:06,P01,13,slow,immediate,YBVLMKQPTRDG,YBVLM,0.417,111110000000
2025-09-30 12:52:23,P01,14,slow,immediate,BRVKMQZTPYGS,BRVKM,0.417,111110000000
2025-09-30 12:52:41,P01,15,slow,immediate,BKDLPSVYRQTG,BKDLP,0.417,111110000000
2025-09-30 12:53:12,P01,16,slow,immediate,BMSVLDZTPQRG,BMSVL,0.417,111110000000
2025-09-30 12:53:29,P01,17,slow,immediate,PVBYKTLRSMZG,PVBYK,0.417,111110000000
2025-09-30 12:53:46,P01,18,slow,immediate,TBGSZLMKRVDP,TBGSZ,0.417,111110000000
2025-09-30 12:54:03,P01,19,slow,immediate,MPKGRLBZDSVY,MPKGR,0.417,111110000000
2025-09-30 12:54:22,P01,20,slow,immediate,BPMZRKTDVGLY,BPMZR,0.417,111110000000
