timestamp,participant,trial_index,condition,similarity,chunked,list_items,response,n_correct,proportion_correct,phonological_confusions
2025-09-30 12:04:12,P01,1,silent,mixed,1,KBVDLRQZGMHT,KBVLMRHQZ,9,0.750,0
2025-09-30 12:04:44,P01,2,silent,mixed,1,VYZPHQTNRK,VYZPHQNRK,9,0.900,0
2025-09-30 12:05:13,P01,3,silent,mixed,1,PNQGLHYMDVRK,PLHQNRKTM,8,0.667,1
2025-09-30 12:05:48,P01,4,silent,mixed,1,LTNVGRZMYPH,LTMVGKHR,7,0.636,1
2025-09-30 12:06:15,P01,5,silent,mixed,1,QPGNZHTLYM,KPQNZH,5,0.500,1
2025-09-30 12:06:44,P01,6,silent,mixed,1,VLHGKZYQMDT,VLHZGQ,6,0.545,0
2025-09-30 12:07:12,P01,7,silent,mixed,1,KQTBNHGDRM,KQTBNH,6,0.600,0
2025-09-30 12:07:42,P01,8,silent,mixed,1,HKRGMDBPTVZN,HQRGNDBT,7,0.583,0
2025-09-30 12:08:14,P01,9,silent,mixed,1,PTMDLRZKHVY,PTLDNRZHQR,7,0.636,1
2025-09-30 12:08:45,P01,10,silent,mixed,1,HBKTVGNLQD,HBKTVHQD,7,0.700,0
2025-09-30 12:09:19,P01,11,silent,mixed,1,HZPNGTMBQV,HPQNZUD,5,0.500,1
2025-09-30 12:09:47,P01,12,silent,mixed,1,RZBNKGTDLYM,DLYMHZQD,5,0.455,0
2025-09-30 12:10:18,P01,13,silent,mixed,1,QHBMGVZTKDYN,KZHMBQVD,8,0.667,0
2025-09-30 12:10:52,P01,14,silent,mixed,1,TPKBQNRHDMZ,TBKPQZMD,8,0.727,0
2025-09-30 12:11:25,P01,15,silent,mixed,1,MPHVTKQGBNDZ,MTHKQGB,7,0.583,0
2025-09-30 12:12:08,P01,16,silent,mixed,1,MDZNYKHBTGQL,MDZHKGL,7,0.583,0
2025-09-30 12:12:40,P01,17,silent,mixed,1,KYZBPMLQDTGR,PLGQRNZB,7,0.583,1
2025-09-30 12:13:10,P01,18,silent,mixed,1,DQMRKLYGPZ,DQMRKLPN,7,0.700,1
2025-09-30 12:13:40,P01,19,silent,mixed,1,RDYVGNQPTLMH,RDENGVQP,7,0.583,0
2025-09-30 12:14:12,P01,20,silent,mixed,1,VLHQZNRYBDT,VLHKZNYBT,8,0.727,0
