timestamp,participant,trial_index,condition,similarity,chunked,list_items,response,n_correct,proportion_correct,phonological_confusions
2025-09-30 11:56:35,P01,1,silent,mixed,1,PZQNTHDRBGY,PZQNTHRBL,8,0.727,0
2025-09-30 11:56:53,P01,2,silent,mixed,1,YNLPRMKHDB,YPLMQBRN,7,0.700,0
2025-09-30 11:57:09,P01,3,silent,mixed,1,VZGQTPYKRLMN,LMNTPQVZR,9,0.750,0
2025-09-30 11:57:30,P01,4,silent,mixed,1,MKDLNPHYBGV,MPKLTQRN,5,0.455,1
2025-09-30 11:57:46,P01,5,silent,mixed,1,YQPGTLBZDMNH,YQPKTL,5,0.417,1
2025-09-30 11:58:01,P01,6,silent,mixed,1,GTYLZPHDQB,GTYLZHQ,7,0.700,0
2025-09-30 11:58:19,P01,7,silent,mixed,1,HLZGQMKYVR,HLZGQK,6,0.600,0
2025-09-30 11:58:40,P01,8,silent,mixed,1,MRYKLGVNZD,MRVKGYNZH,8,0.800,0
2025-09-30 11:58:53,P01,9,silent,mixed,1,VQPRKLBGZMD,VQPRKD,6,0.545,0
2025-09-30 11:59:11,P01,10,silent,mixed,1,LQBPNKDGYZ,YZLQBPNRD,8,0.800,0
2025-09-30 11:59:29,P01,11,silent,mixed,1,HGLRBKQZTYDP,YDPHGLR,7,0.583,0
2025-09-30 11:59:41,P01,12,silent,mixed,1,VBHQZLRDGM,VBHQZ,5,0.500,0
2025-09-30 12:00:01,P01,13,silent,mixed,1,LYPZHKBRGNDQ,LYHKBZN,7,0.583,0
2025-09-30 12:00:19,P01,14,silent,mixed,1,QRVNDLYGHBKT,GHBLYKRN,8,0.667,0
2025-09-30 12:00:39,P01,15,silent,mixed,1,KHLBTPNVQMYG,KHLYTHBG,7,0.583,0
2025-09-30 12:00:57,P01,16,silent,mixed,1,MKHDZTBNLVY,MKHZTYVN,8,0.727,0
2025-09-30 12:01:10,P01,17,silent,mixed,1,MZBVLDHGTQ,MZBVLQ,6,0.600,0
2025-09-30 12:01:27,P01,18,silent,mixed,1,MKRDBGVNHZQ,MKRDBZQL,7,0.636,0
2025-09-30 12:01:41,P01,19,silent,mixed,1,GQRYKMLZPDTN,GQRYK,5,0.417,0
2025-09-30 12:01:55,P01,20,silent,mixed,1,PMYRZTKGQB,PMYRZTQB,8,0.800,0
