timestamp,participant,trial_index,condition,similarity,chunked,list_items,response,n_correct,proportion_correct,phonological_confusions
2025-09-30 12:16:05,P01,1,silent,mixed,1,LDZYGVBHNK,KBHL,4,0.400,0
2025-09-30 12:16:29,P01,2,silent,mixed,1,RKLQHMGYVPTD,YVPLTBR,6,0.500,1
2025-09-30 12:16:50,P01,3,silent,mixed,1,BDRZNVQMKT,KTBVL,4,0.400,0
2025-09-30 12:17:13,P01,4,silent,mixed,1,TGMVYHZNKPBL,HZNKVPL,7,0.583,0
2025-09-30 12:17:31,P01,5,silent,mixed,1,QTKVBPZDNYR,DNYR,4,0.364,0
2025-09-30 12:17:50,P01,6,silent,mixed,1,LMRHVNGKPDQ,DPQKLN,6,0.545,0
2025-09-30 12:18:06,P01,7,silent,mixed,1,LVZQYPNMGB,MNPBG,5,0.500,0
2025-09-30 12:18:26,P01,8,silent,mixed,1,YVPHGTBQZNM,ZNMPQB,6,0.545,0
2025-09-30 12:18:53,P01,9,silent,mixed,1,PYRBQTVGKMN,KMNBQPR,7,0.636,0
2025-09-30 12:19:20,P01,10,silent,mixed,1,MBZRTQGHNYD,MTBYDQRN,8,0.727,0
2025-09-30 12:19:43,P01,11,silent,mixed,1,NQLKBMTRDYGV,LMNTRDGY,8,0.667,0
2025-09-30 12:20:01,P01,12,silent,mixed,1,NVLHGYQDKZ,YQZKG,5,0.500,0
2025-09-30 12:20:28,P01,13,silent,mixed,1,QBVRHDMLGPK,DMPKQZ,5,0.455,0
2025-09-30 12:20:49,P01,14,silent,mixed,1,ZDBPHQRYNTV,HQTVRN,6,0.545,0
2025-09-30 12:21:15,P01,15,silent,mixed,1,KPQYNTMDHBGL,MDHBGLK,7,0.583,0
2025-09-30 12:21:52,P01,16,silent,mixed,1,QVZMKYNLTHD,MKLHQ,5,0.455,0
2025-09-30 12:22:17,P01,17,silent,mixed,1,RKGDNBLZYQ,YZMNLG,5,0.500,1
2025-09-30 12:22:43,P01,18,silent,mixed,1,VQTLDGYHRNMK,NMKZQRG,6,0.500,0
2025-09-30 12:23:14,P01,19,silent,mixed,1,PRVBZMLGHY,PRBMLRZ,6,0.600,0
2025-09-30 12:23:32,P01,20,silent,mixed,1,RGZBMYKVNPQH,KVNPQH,6,0.500,0
