timestamp,participant,trial_index,rate,post_phase,list_items,response,proportion_correct_in_position,per_position_binary
2025-10-01 12:06:59,P01,1,slow,immediate,KMQVPBRYDGLT,KMQVP,0.417,111110000000
2025-10-01 12:07:22,P01,2,slow,immediate,ZVSLBGQTRKPM,ZVSLB,0.417,111110000000
2025-10-01 12:07:57,P01,3,slow,immediate,BPSDGRYQLKTV,BPSDG??????V,0.500,111110000001
2025-10-01 12:08:27,P01,4,slow,immediate,QYGRDTKLSBZM,QYGRD???????,0.417,111110000000
2025-10-01 12:08:52,P01,5,slow,immediate,RKMZGPBSTVLY,RKMZG??????Y,0.500,111110000001
2025-10-01 12:09:12,P01,6,slow,immediate,BKZGTMQVYDPR,BKZGT,0.417,111110000000
2025-10-01 12:09:37,P01,7,slow,immediate,DLRVYQMTZBGP,DLRVY??????P,0.500,111110000001
2025-10-01 12:10:04,P01,8,slow,immediate,SPZYMLRVKGDT,SPZYM?????DT,0.583,111110000011
2025-10-01 12:10:27,P01,9,slow,immediate,GVQZRYKMTSLP,GVQZR??????L,0.417,111110000000
2025-10-01 12:10:49,P01,10,slow,immediate,ZGDPYQVTRBSL,ZGPDY?????SL,0.417,110010000011
2025-10-01 12:11:16,P01,11,slow,immediate,RZPQYMGVSTKL,RZPQY?????KL,0.583,111110000011
2025-10-01 12:11:41,P01,12,slow,immediate,MQBRSTLKPVDG,MQBRS,0.417,111110000000
2025-10-01 12:12:03,P01,13,slow,immediate,QDMRZGBLYKVP,QDMRZ?????VP,0.583,111110000011
2025-10-01 12:12:43,P01,14,slow,immediate,PLKRDGMBQSVZ,PLKRD????SVZ,0.667,111110000111
2025-10-01 12:13:12,P01,15,slow,immediate,MTBGPDLSRZVQ,MTBGP?????VQ,0.583,111110000011
2025-10-01 12:13:38,P01,16,slow,immediate,ZGDLMRTKVBYQ,ZGDLM?????YQ,0.583,111110000011
2025-10-01 12:14:13,P01,17,slow,immediate,YMBRZDPTSQKL,YMBRZ?????KL,0.583,111110000011
2025-10-01 12:14:36,P01,18,slow,immediate,GTQLYSKDPRZM,GTQLY?????RM,0.500,111110000001
2025-10-01 12:15:01,P01,19,slow,immediate,ZKQLGTRYMPSB,ZKQLG?????SB,0.583,111110000011
2025-10-01 12:15:22,P01,20,slow,immediate,ZTBMSKRYPGVQ,ZTBMS?????VQ,0.583,111110000011
