timestamp,participant,trial_index,rate,post_phase,list_items,response,proportion_correct_in_position,per_position_binary
2025-10-01 17:16:31,Selma,1,slow,immediate,DLKSRPQTVYBZ,DLKSRP??,0.500,111111000000
2025-10-01 17:16:53,Selma,2,slow,immediate,DGLPVMQRBSKT,DGLPVMQ??,0.583,111111100000
2025-10-01 17:17:17,Selma,3,slow,immediate,KYPRZVSDTBGQ,KYPVRZS??,0.333,111000100000
2025-10-01 17:17:39,Selma,4,slow,immediate,RLBMQDGKZPTY,RLBMQD??,0.500,111111000000
2025-10-01 17:18:06,Selma,5,slow,immediate,TGLSVBYRKPQD,TGLSVBY??,0.583,111111100000
2025-10-01 17:18:28,Selma,6,slow,immediate,GBSTYQLVRKDM,GBSTYQ??,0.500,111111000000
2025-10-01 17:18:47,Selma,7,slow,immediate,MPQRKTSBYGLV,MPQRKT??,0.500,111111000000
2025-10-01 17:19:15,Selma,8,slow,immediate,QZRVTSMPGYDB,QZRVSMT??,0.333,111100000000
2025-10-01 17:20:06,Selma,9,slow,immediate,MBPYLTZSVKQR,MBLYMTZ,0.417,110101100000
2025-10-01 17:20:31,Selma,10,slow,immediate,RZVSLMKTQGPB,RV?SML??,0.167,100100000000
2025-10-01 17:20:50,Selma,11,slow,immediate,TPDMLZSBGYVQ,TPDML??,0.417,111110000000
2025-10-01 17:21:11,Selma,12,slow,immediate,MZGKLDTRQYBP,MZGKL??,0.417,111110000000
2025-10-01 17:21:30,Selma,13,slow,immediate,LPRDMBZTKYSV,LPRDMB??,0.500,111111000000
2025-10-01 17:21:53,Selma,14,slow,immediate,ZSDBVGMRQYTL,ZSDBVG?,0.500,111111000000
2025-10-01 17:22:15,Selma,15,slow,immediate,ZTBLVGMRSYDQ,ZBLGV??,0.167,100010000000
2025-10-01 17:22:37,Selma,16,slow,immediate,VYZGMDTBPSKL,VYZGMDT??,0.583,111111100000
2025-10-01 17:22:58,Selma,17,slow,immediate,MYDZQSBRGLKT,MYDZQS??,0.500,111111000000
2025-10-01 17:23:23,Selma,18,slow,immediate,DZMVKPRTSYQG,DZMVKPR??,0.583,111111100000
2025-10-01 17:23:45,Selma,19,slow,immediate,LZSQPBKVTYRM,LZSQB??,0.333,111100000000
2025-10-01 17:24:07,Selma,20,slow,immediate,QDSMRGPZYVBL,QDSMRG??,0.500,111111000000
