timestamp,participant,trial_index,rate,post_phase,chunking,list_length,list_items,response,proportion_correct_in_position,per_position_binary
2025-09-30 12:27:05,P01,1,slow,immediate,True,9,TZQYBVLGR,??????LQR,0.222,000000101
2025-09-30 12:27:24,P01,2,slow,immediate,True,9,KMZVSQYGR,KMZ???VQR,0.444,111000001
2025-09-30 12:27:44,P01,3,slow,immediate,True,9,VKMRTPQBZ,VKMRTP???,0.667,111111000
2025-09-30 12:27:55,P01,4,slow,immediate,True,9,MZGBQLSPR,??????SPR,0.333,000000111
2025-09-30 12:28:10,P01,5,slow,immediate,True,9,QGKBDYRSM,???BDYRSM,0.667,000111111
2025-09-30 12:28:23,P01,6,slow,immediate,True,9,RKTPBMLGZ,RKTPBM???,0.667,111111000
2025-09-30 12:28:36,P01,7,slow,immediate,True,9,DLYRQVTSZ,???RKVTSZ,0.556,000101111
2025-09-30 12:28:48,P01,8,slow,immediate,True,9,GMRQBVPDK,GMR??????,0.333,111000000
2025-09-30 12:29:01,P01,9,slow,immediate,True,9,GDVZLMYRB,???ZLMYRB,0.667,000111111
2025-09-30 12:29:13,P01,10,slow,immediate,True,9,KSDMBGZVY,KSDMBV???,0.556,111110000
2025-09-30 12:29:25,P01,11,slow,immediate,True,9,ZVTGSPQDK,???ZSTQDK,0.444,000010111
2025-09-30 12:29:36,P01,12,slow,immediate,True,9,TBDRLZKVP,TBDRLZ???,0.667,111111000
2025-09-30 12:29:55,P01,13,slow,immediate,True,9,RTLQGPVYS,RTP???YLS,0.333,110000001
2025-09-30 12:30:08,P01,14,slow,immediate,True,9,PDQLBTKRM,PDQLBTQRM,0.889,111111011
2025-09-30 12:30:22,P01,15,slow,immediate,True,9,RVKYLZGBT,???YLQGBT,0.556,000110111
2025-09-30 12:30:34,P01,16,slow,immediate,True,9,GDVSRKQPZ,???SRKQPZ,0.667,000111111
2025-09-30 12:30:45,P01,17,slow,immediate,True,9,BTZMDVYGR,BTZ??????,0.333,111000000
2025-09-30 12:30:56,P01,18,slow,immediate,True,9,MVKPBYDLZ,MVK???DLZ,0.667,111000111
2025-09-30 12:31:11,P01,19,slow,immediate,True,9,RQKSBDVPG,???SBDVPK,0.556,000111110
2025-09-30 12:31:21,P01,20,slow,immediate,True,9,ZBQSGVYRL,??????YRL,0.333,000000111
